0	-5	-5	0	1	0	1	2	2	NaN
-4	-6	-4	-4	-1	0	2	2	1	3
-2	-3	-2	-2	-1	-3	-2	-1	-1	0
-6	-6	-6	-6	-6	-6	-6	-5	-5	-6
-5	-6	-5	-6	-5	-5	-5	-6	-5	NaN
-6	-6	-6	-5	-6	-6	-6	-6	-6	-6
-2	4	4	3	2	3	-1	4	1	3
3	2	5	4	5	5	4	5	5	NaN
-5	-5	-2	1	0	-4	1	2	3	2
-1	-1	0	0	1	1	2	1	2	NaN
-6	-4	-2	0	1	2	2	2	2	2
-4	-4	-4	-5	-2	-2	-1	-1	0	-1
-6	-5	-6	-6	-6	-6	-4	-5	-6	-6
1	-3	-3	-3	-2	1	1	2	2	3
-6	-5	-6	-5	-6	-6	-5	-5	-5	NaN
3	5	4	3	4	4	4	5	4	3
-6	-6	-6	-6	-6	-6	-6	-6	NaN	NaN
-1	1	2	2	3	3	5	5	5	4
-3	-3	-1	1	2	2	3	3	3	3
-4	-6	-4	-3	-5	-3	-4	NaN	NaN	NaN
2	2	-1	2	2	3	2	4	3	NaN
-3	-3	-1	-4	-4	-4	-4	-5	-3	NaN
-5	-2	-2	-2	-1	-1	0	0	-4	NaN
4	3	4	4	4	5	5	4	5	5
3	3	4	3	4	5	4	5	4	5
-5	-3	-3	0	-2	-6	-3	-3	-6	NaN
-1	-3	-3	-3	-3	-3	-2	-2	-2	NaN
